sample_id,chart_id,chart_kind,phase4_split,question,target_series_name,target_semantic_label,construction_semantic_mode,x_grounding_mode,predicted_target_x,construction_target_x,x_grounding_error_pixels,detected_series_count,legend_entry_count,series_resolution_mode,series_color_distance,series_color_margin,line_crossing_near_target,local_overlap_fraction,series_column_coverage,axis_span,auto_status,auto_status_reason,oracle_status,oracle_status_reason,auto_column_value,auto_local_value,oracle_column_value,oracle_local_value,pseudo_gold,calibration_eval_eligible_unseen_to_phase1_train,parser_used_hidden_bbox_or_gold,masked_image_path,source_image_path,auto_column_absolute_error,auto_column_axis_normalized_error,auto_local_absolute_error,auto_local_axis_normalized_error,oracle_column_absolute_error,oracle_column_axis_normalized_error,oracle_local_absolute_error,oracle_local_axis_normalized_error
phase4_line_0001,02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,multi_line,train,What is the value of R-Jio in 3QFY24?,R-Jio,3QFY24,direct_anchor,direct_anchor,958.0,958.0,0.0,4,3,auto_series,66.68161113896693,11.681836876746075,,,,5.572587820811915,ambiguous_series,legend_color_mismatch,ambiguous_series,legend_color_mismatch,,,,,4.3,0,0,phase4_masked_images/phase4_line_0001.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1191.jpg,,,,,,,,
phase4_line_0002,02fbe52b0addee5150272781d9f1cd9034dff40bb5674f6f804a0c50ef7cda29,multi_line,train,What is the value of Bharti Airtel in 3QFY24?,Bharti Airtel,3QFY24,direct_anchor,direct_anchor,958.0,958.0,0.0,4,3,auto_series,6.677804252472029,101.77017100065096,False,0.0,0.6,5.572587820811915,success,,success,,2.8919690644352283,2.8908139446425407,2.8919690644352283,2.8908139446425407,2.9,0,0,phase4_masked_images/phase4_line_0002.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1191.jpg,0.008030935564771635,0.0014411501124806938,0.0091860553574592,0.0016484361759454174,0.008030935564771635,0.0014411501124806938,0.0091860553574592,0.0016484361759454174
phase4_line_0003,044ddc0a03bbfdd12c3c4cddf7b2a27bac597d55df9d8a1f7b7c2155b86b7766,multi_line,train,What is the value of 11 SD = 14.3 in Jun-21?,11 SD = 14.3,Jun-21,interpolated_semantic_target,piecewise_linear_interpolation,382.83333333335077,384.0,1.1666666666492347,3,3,auto_series,2.4674324272324313,187.5594867614172,False,0.0,1.0,15.481340111161877,success,,success,,16.350430923862692,16.32628858839289,16.350430923862692,16.32628858839289,16.0,1,0,phase4_masked_images/phase4_line_0003.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/2450.jpg,0.35043092386269237,0.02263569699693087,0.32628858839289165,0.021076249604363457,0.35043092386269237,0.02263569699693087,0.32628858839289165,0.021076249604363457
phase4_line_0004,04901894fd4c37e24c7dc81559baba28d48552ad4d35b8d55782a2a9c4a9e937,single_line,train,What is the value for Jan-25?,Ix,Jan-25,direct_anchor,direct_anchor,927.0,927.0,0.0,1,3,single_line_implicit,,,False,0.0,0.582089552238806,353.7293865993021,success,,,,156.32756737464052,156.18973925210594,,,4.0,1,0,phase4_masked_images/phase4_line_0004.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/2407.jpg,152.32756737464052,0.430633057770782,152.18973925210594,0.43024341493149276,,,,
phase4_line_0005,04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,multi_line,train,What is the value of HMCL in 3QFY24?,HMCL,3QFY24,direct_anchor,direct_anchor,949.0,949.0,0.0,4,4,auto_series,2.176740488221247,159.84395795496235,False,0.0,0.547945205479452,45.57844531708974,success,,success,,29.758858724220016,29.769498949156862,29.758858724220016,29.769498949156862,30.0,0,0,phase4_masked_images/phase4_line_0005.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/4736.jpg,0.24114127577998445,0.005290686729272181,0.230501050843138,0.005057238114190593,0.24114127577998445,0.005290686729272181,0.230501050843138,0.005057238114190593
phase4_line_0006,04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,multi_line,train,What is the value of HMSI in 1QFY24?,HMSI,1QFY24,direct_anchor,direct_anchor,802.0,802.0,0.0,4,4,auto_series,3.2690573065150477,36.2749244167627,False,0.0,1.0,45.57844531708974,success,,success,,22.982243900930698,22.946060918840196,22.982243900930698,22.946060918840196,23.0,0,0,phase4_masked_images/phase4_line_0006.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/4736.jpg,0.017756099069302422,0.0003895722845694505,0.05393908115980395,0.0011834339847388207,0.017756099069302422,0.0003895722845694505,0.05393908115980395,0.0011834339847388207
phase4_line_0007,04d180c537e20cda970f86db695a0c0112ac3ccd016024251d2f6fdc782f2c50,multi_line,train,What is the value of HMCL in 2QFY24?,HMCL,2QFY24,direct_anchor,direct_anchor,875.0,875.0,0.0,4,4,auto_series,2.176740488221247,159.84395795496235,False,0.0,1.0,45.57844531708974,success,,success,,29.530433505457456,29.54103100405324,29.530433505457456,29.54103100405324,30.0,0,0,phase4_masked_images/phase4_line_0007.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/4736.jpg,0.4695664945425442,0.01030238068182811,0.45896899594675844,0.010069869491021604,0.4695664945425442,0.01030238068182811,0.45896899594675844,0.010069869491021604
phase4_line_0008,07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,multi_line,train,What is the value of GPM % in 2016?,GPM %,2016,direct_anchor,direct_anchor,145.5,145.5,0.0,2,1,auto_series,5.54075362899856,108.7056137766832,False,0.0,0.23170731707317074,40.37472815165501,success,,success,,,79.40850207604767,,79.40850207604767,79.0,0,0,phase4_masked_images/phase4_line_0008.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/801.jpg,,,0.4085020760476681,0.01011776660175291,,,0.4085020760476681,0.01011776660175291
phase4_line_0009,07291264ea3375d81863c45d5381d2a6b4aa964eafa847155c953f273eada49c,multi_line,train,What is the value of GPM % in 2020?,GPM %,2020,direct_anchor,direct_anchor,481.0,481.0,0.0,2,1,auto_series,5.54075362899856,108.7056137766832,False,0.0,1.0,40.37472815165501,success,,success,,70.57417124444791,70.62025789313884,70.57417124444791,70.62025789313884,70.0,0,0,phase4_masked_images/phase4_line_0009.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/801.jpg,0.5741712444479106,0.014221055366396926,0.6202578931388416,0.015362528035087622,0.5741712444479106,0.014221055366396926,0.6202578931388416,0.015362528035087622
phase4_line_0010,0b29203f223af5db5593570dc213d2ab9231fd234ec685e0e7babafffc197885,multi_line,train,What is the value of MM in FY16?,MM,FY16,direct_anchor,direct_anchor,111.0,111.0,0.0,6,5,auto_series,4.6764589837989385,108.00166641729157,False,0.0,0.5185185185185185,48.86066130005766,success,,success,,30.26717442701889,30.35690663683272,30.26717442701889,30.35690663683272,30.0,0,0,phase4_masked_images/phase4_line_0010.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/454.jpg,0.26717442701889027,0.005468088640433014,0.3569066368327185,0.007304580563102148,0.26717442701889027,0.005468088640433014,0.3569066368327185,0.007304580563102148
phase4_line_0011,0b29203f223af5db5593570dc213d2ab9231fd234ec685e0e7babafffc197885,multi_line,train,What is the value of MM in FY17?,MM,FY17,direct_anchor,direct_anchor,194.0,194.0,0.0,6,5,auto_series,4.6764589837989385,108.00166641729157,False,0.0,1.0,48.89966687708731,success,,success,,24.296031453845,24.2949823476455,24.296031453845,24.2949823476455,24.0,0,0,phase4_masked_images/phase4_line_0011.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/454.jpg,0.29603145384499996,0.006053854202915031,0.2949823476455009,0.006032399942252355,0.29603145384499996,0.006053854202915031,0.2949823476455009,0.006032399942252355
phase4_line_0012,0e40dfdc1de3286bcff573dbdeca65940c0f2a5584d3da08f16267ccd289d51c,multi_line,train,What is the value of levels in 2018 are same as in 2017?,levels in 2018 are same as,2017,direct_anchor,direct_anchor,917.5,917.5,0.0,2,7,auto_series,2.211918977270789,186.58853334046665,False,0.0,0.5175438596491229,22.225148356613552,success,,success,,19.955606163440486,19.99312817348686,19.955606163440486,19.99312817348686,20.0,1,0,phase4_masked_images/phase4_line_0012.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1242.jpg,0.044393836559514455,0.001997459627589129,0.0068718265131408884,0.0003091914799793017,0.044393836559514455,0.001997459627589129,0.0068718265131408884,0.0003091914799793017
phase4_line_0013,0e40dfdc1de3286bcff573dbdeca65940c0f2a5584d3da08f16267ccd289d51c,multi_line,train,What is the value of levels in 2018 are same as in 2000?,levels in 2018 are same as,2000,direct_anchor,direct_anchor,658.0,658.0,0.0,2,7,auto_series,2.211918977270789,186.58853334046665,False,0.0,1.0,22.225148356613552,success,,success,,12.929680401188614,12.974681806853912,12.929680401188614,12.974681806853912,13.0,1,0,phase4_masked_images/phase4_line_0013.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1242.jpg,0.07031959881138583,0.0031639653280631885,0.025318193146087964,0.0011391686903432531,0.07031959881138583,0.0031639653280631885,0.025318193146087964,0.0011391686903432531
phase4_line_0014,0e40dfdc1de3286bcff573dbdeca65940c0f2a5584d3da08f16267ccd289d51c,multi_line,train,What is the value of levels in 2018 are same as in 1990?,levels in 2018 are same as,1990,direct_anchor,direct_anchor,530.0,530.0,0.0,2,7,auto_series,2.211918977270789,186.58853334046665,False,0.0,1.0,22.225148356613552,success,,success,,5.372382102295845,5.332602704441136,5.372382102295845,5.332602704441136,5.3,1,0,phase4_masked_images/phase4_line_0014.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1242.jpg,0.07238210229584485,0.003256765765269057,0.03260270444113633,0.001466928540498796,0.07238210229584485,0.003256765765269057,0.03260270444113633,0.001466928540498796
phase4_line_0015,0e40dfdc1de3286bcff573dbdeca65940c0f2a5584d3da08f16267ccd289d51c,multi_line,train,What is the value of levels in 2018 are same as in 2010?,levels in 2018 are same as,2010,direct_anchor,direct_anchor,788.5,788.5,0.0,2,7,auto_series,2.211918977270789,186.58853334046665,False,0.0,1.0,22.225148356613552,success,,success,,17.08225837271563,17.11209142120359,17.08225837271563,17.11209142120359,17.1,1,0,phase4_masked_images/phase4_line_0015.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1242.jpg,0.017741627284372896,0.0007982681150064633,0.012091421203589192,0.0005440423168195024,0.017741627284372896,0.0007982681150064633,0.012091421203589192,0.0005440423168195024
phase4_line_0016,0e40dfdc1de3286bcff573dbdeca65940c0f2a5584d3da08f16267ccd289d51c,multi_line,train,What is the value of levels in 2018 are same as in 1980?,levels in 2018 are same as,1980,direct_anchor,direct_anchor,400.5,400.5,0.0,2,7,auto_series,2.211918977270789,186.58853334046665,False,0.0,1.0,22.225148356613552,success,,success,,2.0857445608502907,2.0953323728071602,2.0857445608502907,2.0953323728071602,2.1,1,0,phase4_masked_images/phase4_line_0016.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1242.jpg,0.014255439149709392,0.0006414103033632795,0.004667627192839863,0.0002100155696576448,0.014255439149709392,0.0006414103033632795,0.004667627192839863,0.0002100155696576448
phase4_line_0017,13d33ca8afe33042fbfd73d92336e97bf5abfa1f254596124f2b3c3330d4b163,multi_line,train,What is the value of 1.Sx in Jan-23?,1.Sx,Jan-23,interpolated_semantic_target,piecewise_linear_interpolation,795.9166666666786,796.5,0.5833333333214341,5,5,auto_series,1.9584715831568742,36.864525369044635,False,0.0,1.0,4.55173475467433,success,,success,,1.9400454943776966,1.926412598921171,1.9400454943776966,1.926412598921171,2.0,1,0,phase4_masked_images/phase4_line_0017.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/367.jpg,0.05995450562230342,0.013171792482137522,0.0735874010788291,0.016166891316164618,0.05995450562230342,0.013171792482137522,0.0735874010788291,0.016166891316164618
phase4_line_0018,2299bdb915a90a685d20abce3696ca7a7ecce5c65583c0c45b03286b808815bc,multi_line,train,What is the value of HL(non-priority) in Jan-24?,HL(non-priority),Jan-24,direct_anchor,direct_anchor,938.0,938.0,0.0,5,3,auto_series,2.9642317511885103,46.57870818883572,False,0.0,0.5714285714285714,35.491314140099085,success,,success,,20.307206156704694,20.203124395724267,20.307206156704694,20.203124395724267,21.0,0,0,phase4_masked_images/phase4_line_0018.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1687.jpg,0.6927938432953056,0.019520095552409193,0.7968756042757335,0.02245269366837564,0.6927938432953056,0.019520095552409193,0.7968756042757335,0.02245269366837564
phase4_line_0019,2299bdb915a90a685d20abce3696ca7a7ecce5c65583c0c45b03286b808815bc,multi_line,train,What is the value of HL (priority) in Jan-24?,HL (priority),Jan-24,direct_anchor,direct_anchor,938.0,938.0,0.0,5,3,auto_series,0.9924004075813226,58.80960966499034,False,0.0,0.5714285714285714,35.491314140099085,success,,success,,6.121214652771947,5.649621435565486,6.121214652771947,5.649621435565486,7.0,0,0,phase4_masked_images/phase4_line_0019.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1687.jpg,0.8787853472280531,0.02476057504546378,1.3503785644345143,0.03804814212018198,0.8787853472280531,0.02476057504546378,1.3503785644345143,0.03804814212018198
phase4_line_0020,2d5c7091b9d4b68f0a8d756bc6ae376deb6783a8dce2980aa935997309f689d2,multi_line,test,What is the value of Y25F in FY22?,Y25F,FY22,direct_anchor,direct_anchor,374.0,374.0,0.0,4,5,auto_series,100.28873878607476,14.04059508432978,,,,162.1013707530758,ambiguous_series,legend_color_mismatch,ambiguous_series,legend_color_mismatch,,,,,29.3,1,0,phase4_masked_images/phase4_line_0020.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/1152.jpg,,,,,,,,
phase4_line_0021,2f64995a24fe867563e33e8a669cf7c0665747a51ba6e3a60c63ed8f92b6d8f9,single_line,train,What is the value for 3QFY21?,EUR/unit,3QFY21,interpolated_semantic_target,piecewise_linear_interpolation,340.25,335.5,4.75,1,1,single_line_implicit,,,False,0.0,0.08823529411764706,3915.6912131389668,line_localization_failed,no_recoverable_point_at_target_x,,,,,,,197.0,1,0,phase4_masked_images/phase4_line_0021.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/3318.jpg,,,,,,,,
phase4_line_0022,2f64995a24fe867563e33e8a669cf7c0665747a51ba6e3a60c63ed8f92b6d8f9,single_line,train,What is the value for 2QFY21?,EUR/unit,2QFY21,direct_anchor,direct_anchor,306.5,306.5,0.0,1,1,single_line_implicit,,,False,0.0,0.0,3915.6912131389668,line_localization_failed,target_series_missing_near_target_x,,,,,,,104.0,1,0,phase4_masked_images/phase4_line_0022.png,/data/liu_jun/finmme_reproduction/outputs/cache/phase2c_official_jpeg/3318.jpg,,,,,,,,
