sample_id,chart_id,question,decision,reason,detail,semantic_plan
4145,495631622a65d1959824ae9ba7486afcf369b835ec533775feb3eb56388c0504,"What percentage of revenue in FY22 came from products other than connecting rods, crank shaft assembly, and gear shift dorks?",reject,direct_data_value_or_numeric_annotation_present,,
4631,b54fc3788f9fb1294f0c1a89aebe2dd618b97e10e72c1836db74c8d9b3b74a90,What is the approximate cash return yield for Specialty Chemicals?,reject,possible_marker_series_or_combination,"{""interior_circle_markers"": 4, ""interior_horizontal_markers"": 0}",
2363,83aa7f614c60dce753a4f4be142634809b6f072946315bc50411be12f3148598,What is the value for the integrated player category in 2023?,reject,x_axis_labels_unreadable_or_grouped_bars,,
6247,fec118edb23248df7f607841062536d0fa78edd9fa80557935b3eb3ecd793bfc,What is the P/E ratio change from Jan 2020 to Jan 2021?,reject,bar_count_out_of_scope,,
10846,6570f885b6d198d15bcfc2af198c85f300cc74a0e9feddd20bf1e4e199a722c0,What is the gross margin growth from Mar-22 to Dec-23?,reject,bar_count_out_of_scope,,
10195,a387be9d12b99ee9861d4ad84c3eb40ecf8614a79dee0e19d44b8c41494cbc05,What is the range of deposit growth percentages between Q3FY22 and Q3FY23?,reject,bar_count_out_of_scope,,
6100,01bcf6a8031f667a23349635a02921c9d78fde424e087c8c3365deddc6f13467,What is the highest value of palm oil imports in the chart?,reject,bar_count_out_of_scope,,
8379,0d760b973d51badc4fd69b9d385e2d1d35e5488e80e03ae910d80641fea14650,Calculate the overall percentage of sales from Malaysia in 4Q23.,reject,possible_marker_series_or_combination,"{""interior_circle_markers"": 0, ""interior_horizontal_markers"": 3}",
10622,06ce6d6082dafbdc51d5a11a14e855d8f41b5dd3b0668fe4a0d6139c6ee80978,What is the estimated sales margin for 2023 based on the chart?,reject,possible_marker_series_or_combination,"{""interior_circle_markers"": 0, ""interior_horizontal_markers"": 3}",
458,a3658a926f147abfd2d04da35c6f54893c89886746075500a96a6acd546d4b88,What is the projected percentage point increase of the 60+ age group from 2011 to 2036 E?,reject,direct_data_value_or_numeric_annotation_present,,
3314,9b1581bf72f70be8d68b92e9c9226411207f46ee6db10e14f3990c5f24adca12,How much did the deposit rate in Ireland change between July 2022 and December 2023?,reject,bar_count_out_of_scope,,
7584,8f56fe7b404c4c2e16d7d7c13ec61611652344358e2edc904494108ad276ba53,What was the change in the trade balance from 2000 to 2020 in USD billion?,reject,bar_count_out_of_scope,,
