sample_id,chart_id,chart_kind,question_type,operation,question,status,failure_stage,semantic_targets,detected_x_labels,selected_targets,y_axis_ticks,geometry_values,numeric_answer,reasoning,geometry_prediction,gold,tolerance,geometry_correct,raw_vlm_correct,fallback_correct
308,7302b1b043d09e62bbf8a970b587d142024fe8ab98ecc7b53d22dc067fbc8847,line,single_choice,direct,What is the predicted GDP growth in 2024 according to the chart?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,B,,0,0,0
458,a3658a926f147abfd2d04da35c6f54893c89886746075500a96a6acd546d4b88,bar,numerical,direct,What is the projected percentage point increase of the 60+ age group from 2011 to 2036 E?,direct_data_value_or_numeric_annotation_present,bar_chart_analysis,[],[],[],[],[],,{},,6.5,3.0,0,1,1
484,96b6443f5605b465796f2e19d81a3fcc4e175c6b2aa954fbc375e818ffc52577,bar,numerical,direct,What was VI's subscriber count in 3QFY22?,bar_count_out_of_scope,bar_chart_analysis,[],[],[],[],[],,{},,247,10.0,0,1,1
584,9526b346f489af113b06b685c988bba3250e13912aa666ed3a2abe48cf1d8dff,line,single_choice,direct,What is the P/E ratio value approximately in Feb 2024 on the chart?,ambiguous_series,x_grounding_or_line_fit,[],[],[],[],[],,{},,A,,0,0,0
730,9794f705b05ccae3e56ec94da386da7a6bc0727330f77ea68fe0ecfd28f1ab70,line,single_choice,direct,What is the closing price of Kia Corp's stock around January 2024?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,A,,0,0,0
837,d9f3edfa7390e9dddaf6e95b7389110e717a07ea062cb653d36787395e1c16ba,line,single_choice,direct,What was the approximate PBV value on Feb 16?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,C,,0,0,0
840,eca6074930559c168f8b6568dd1c5f1f8bcd7e7df70b07c4a97148d761b2ada7,line,single_choice,direct,What was the approximate marketing margin in Jul-21?,success,,"[""Jul-21""]","[""Jul-21""]","[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 43, ""median_residual"": 0.7868081192309262, ""side"": ""all"", ""slope"": -0.1799539051735253, ""target_y"": 209.90639326579264, ""x_max"": 362.0, ""x_min"": 318.0}, {""inlier_count"": 23, ""median_residual"": 0.40914739888103213, ""side"": ""left"", ""slope"": -0.0071943743519585325, ""target_y"": 212.30842615795362, ""x_max"": 340.0, ""x_min"": 318.0}, {""inlier_count"": 23, ""median_residual"": 0.6942566250903326, ""side"": ""right"", ""slope"": -0.3053994398566365, ""target_y"": 210.83205270408678, ""x_max"": 362.0, ""x_min"": 340.0}], ""local_columns"": 45, ""local_fit_residual_pixels"": 0.40914739888103213, ""method"": ""auto_x_local_line_fit"", ""point"": [340.0, 211.57023943102018], ""score"": 0.7096489698622546, ""search_window"": [318.0, 362.0], ""target_x"": 340.0, ""target_y"": 211.57023943102018, ""window_half_width"": 21.84}]","[{""bbox"": [31.0, 82.0, 67.0, 110.0], ""confidence"": 0.9999959539049404, ""pixel_y"": 96.0, ""text"": ""20"", ""value"": 20.0}, {""bbox"": [31.0, 116.0, 67.0, 146.0], ""confidence"": 0.9999932565108979, ""pixel_y"": 131.0, ""text"": ""15"", ""value"": 15.0}, {""bbox"": [33.0, 153.0, 67.0, 181.0], ""confidence"": 0.9999976397772992, ""pixel_y"": 167.0, ""text"": ""10"", ""value"": 10.0}, {""bbox"": [45.0, 189.0, 66.0, 217.0], ""confidence"": 0.9999933242909265, ""pixel_y"": 203.0, ""text"": ""5"", ""value"": 5.0}, {""bbox"": [23.0, 292.0, 67.0, 320.0], ""confidence"": 0.995768088278635, ""pixel_y"": 306.0, ""text"": ""-10"", ""value"": -10.0}, {""bbox"": [23.0, 327.0, 67.0, 355.0], ""confidence"": 0.9991395930131632, ""pixel_y"": 341.0, ""text"": ""-15"", ""value"": -15.0}, {""bbox"": [23.0, 362.0, 67.0, 390.0], ""confidence"": 0.7488820552825928, ""pixel_y"": 376.0, ""text"": ""-20"", ""value"": -20.0}, {""bbox"": [23.0, 398.0, 67.0, 426.0], ""confidence"": 0.7367972731590271, ""pixel_y"": 412.0, ""text"": ""-25"", ""value"": -25.0}]",[3.563266211368493],3.563266211368493,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 3.563266211368493, ""option_values"": [[""A"", 3.0, ""3 INR/liter""], [""B"", 5.0, ""5 INR/liter""], [""C"", 7.0, ""7 INR/liter""], [""D"", -2.0, ""-2 INR/liter""]], ""selected_option"": ""A""}",A,A,,1,1,1
1146,913974bf7bd00127303a939c2cef35738d33a9bf80799e54b39e11a5b37b8b64,line,single_choice,direct,What was the Loan-to-Deposit Ratio (LDR) in 1Q16?,success,,"[""1Q16""]","[""1Q16""]","[{""both_sides"": 0, ""chart_type"": ""line"", ""fit_mode"": ""global_robust"", ""fitted_segments"": [{""inlier_count"": 51, ""median_residual"": 11.006354437787365, ""side"": ""all"", ""slope"": -0.31761628761476174, ""target_y"": 286.4464944250569, ""x_max"": 178.0, ""x_min"": 128.0}], ""local_columns"": 51, ""local_fit_residual_pixels"": 11.006354437787365, ""method"": ""auto_x_local_line_fit"", ""point"": [130.0, 286.4464944250569], ""score"": 0.08328922864818313, ""search_window"": [111.0, 178.0], ""target_x"": 130.0, ""target_y"": 286.4464944250569, ""window_half_width"": 47.04}]","[{""bbox"": [32.0, 30.0, 97.0, 70.0], ""confidence"": 0.9999926356734838, ""pixel_y"": 50.0, ""text"": ""106"", ""value"": 106.0}, {""bbox"": [33.0, 78.0, 97.0, 116.0], ""confidence"": 1.0, ""pixel_y"": 97.0, ""text"": ""104"", ""value"": 104.0}, {""bbox"": [32.0, 125.0, 97.0, 163.0], ""confidence"": 0.5423829555511475, ""pixel_y"": 144.0, ""text"": ""102"", ""value"": 102.0}, {""bbox"": [32.0, 173.0, 97.0, 211.0], ""confidence"": 0.999918923983187, ""pixel_y"": 192.0, ""text"": ""100"", ""value"": 100.0}, {""bbox"": [48.0, 219.0, 99.0, 260.0], ""confidence"": 0.9999973026027609, ""pixel_y"": 239.5, ""text"": ""98"", ""value"": 98.0}, {""bbox"": [48.0, 265.0, 99.0, 307.0], ""confidence"": 0.9999340829652656, ""pixel_y"": 286.0, ""text"": ""96"", ""value"": 96.0}, {""bbox"": [48.0, 312.0, 99.0, 353.0], ""confidence"": 0.9999959539049404, ""pixel_y"": 332.5, ""text"": ""94"", ""value"": 94.0}, {""bbox"": [49.0, 360.0, 97.0, 398.0], ""confidence"": 0.9961524079519979, ""pixel_y"": 379.0, ""text"": ""92"", ""value"": 92.0}, {""bbox"": [48.0, 406.0, 97.0, 444.0], ""confidence"": 0.9998513091564443, ""pixel_y"": 425.0, ""text"": ""90"", ""value"": 90.0}, {""bbox"": [48.0, 454.0, 97.0, 492.0], ""confidence"": 0.9999981455391691, ""pixel_y"": 473.0, ""text"": ""88"", ""value"": 88.0}]",[95.95001957487207],95.95001957487207,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 95.95001957487207, ""option_values"": [[""A"", 94.5, ""94.5""], [""B"", 96.2, ""96.2""], [""C"", 98.0, ""98.0""], [""D"", 100.3, ""100.3""]], ""selected_option"": ""B""}",B,A,,0,0,0
1154,e2f9539e4e5cacd1513ee511e53482ce3e2a02936a555049cacb4c4ac4443020,line,numerical,difference,Calculate the approximate increase in domestic formulation sales from 1Q FY16 to 3Q FY24 in INR mn.,success,,"[""1QFY16"", ""3QFY24""]","[""1QFY16"", ""3QFY24""]","[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 18, ""median_residual"": 0.16131598708710726, ""side"": ""all"", ""slope"": -0.00585518889179659, ""target_y"": 146.1613159870871, ""x_max"": 118.0, ""x_min"": 93.0}, {""inlier_count"": 11, ""median_residual"": 11.188128439936065, ""side"": ""left"", ""slope"": -6.219805206703315, ""target_y"": 137.88017376955125, ""x_max"": 105.0, ""x_min"": 93.0}, {""inlier_count"": 13, ""median_residual"": 5.684341886080802e-14, ""side"": ""right"", ""slope"": 1.3432829587353444e-14, ""target_y"": 145.99999999999994, ""x_max"": 118.0, ""x_min"": 106.0}], ""local_columns"": 26, ""local_fit_residual_pixels"": 5.684341886080802e-14, ""method"": ""auto_x_local_line_fit"", ""point"": [105.5, 141.9400868847756], ""score"": 0.9999999999999432, ""search_window"": [93.0, 118.0], ""target_x"": 105.5, ""target_y"": 141.9400868847756, ""window_half_width"": 12.48}, {""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 25, ""median_residual"": 1.4210854715202004e-14, ""side"": ""all"", ""slope"": -2.7045862446784337e-16, ""target_y"": 35.000000000000014, ""x_max"": 984.0, ""x_min"": 960.0}, {""inlier_count"": 14, ""median_residual"": 1.4210854715202004e-14, ""side"": ""left"", ""slope"": -3.2957680285784926e-15, ""target_y"": 34.999999999999964, ""x_max"": 973.0, ""x_min"": 960.0}, {""inlier_count"": 12, ""median_residual"": 7.105427357601002e-15, ""side"": ""right"", ""slope"": -7.612446284702326e-16, ""target_y"": 35.0, ""x_max"": 984.0, ""x_min"": 973.0}], ""local_columns"": 25, ""local_fit_residual_pixels"": 7.105427357601002e-15, ""method"": ""auto_x_local_line_fit"", ""point"": [973.0, 34.999999999999986], ""score"": 0.9999999999999929, ""search_window"": [960.0, 986.0], ""target_x"": 973.0, ""target_y"": 34.999999999999986, ""window_half_width"": 12.24}]","[{""bbox"": [22.0, 22.0, 80.0, 48.0], ""confidence"": 0.9980587363243103, ""pixel_y"": 35.0, ""text"": ""9000"", ""value"": 9000.0}, {""bbox"": [22.0, 58.0, 80.0, 85.0], ""confidence"": 0.998535692691803, ""pixel_y"": 71.5, ""text"": ""8000"", ""value"": 8000.0}, {""bbox"": [22.0, 95.0, 80.0, 123.0], ""confidence"": 0.9980554580688477, ""pixel_y"": 109.0, ""text"": ""7000"", ""value"": 7000.0}, {""bbox"": [22.0, 132.0, 80.0, 160.0], ""confidence"": 0.9977681636810303, ""pixel_y"": 146.0, ""text"": ""6000"", ""value"": 6000.0}, {""bbox"": [22.0, 169.0, 80.0, 197.0], ""confidence"": 0.9778226613998413, ""pixel_y"": 183.0, ""text"": ""5000"", ""value"": 5000.0}, {""bbox"": [22.0, 206.0, 80.0, 234.0], ""confidence"": 0.9997113347053528, ""pixel_y"": 220.0, ""text"": ""4000"", ""value"": 4000.0}, {""bbox"": [22.0, 242.0, 80.0, 270.0], ""confidence"": 0.999726414680481, ""pixel_y"": 256.0, ""text"": ""3000"", ""value"": 3000.0}, {""bbox"": [22.0, 279.0, 80.0, 307.0], ""confidence"": 0.9990838170051575, ""pixel_y"": 293.0, ""text"": ""2000"", ""value"": 2000.0}, {""bbox"": [22.0, 316.0, 80.0, 344.0], ""confidence"": 0.9994992613792419, ""pixel_y"": 330.0, ""text"": ""1000"", ""value"": 1000.0}]","[6102.930168391579, 9002.966503332507]",2900.036334940928,"{""executor"": ""python"", ""formula"": ""difference"", ""numeric_answer"": 2900.036334940928}",2900.036334940928,3500,10.0,0,0,0
1158,41fbf27e7d4801b1c6585ebc39b456d0d291bb2ef6722cda77652dae760aa5a5,bar,numerical,growth_rate,What is the percentage change in API sales from 30FY23 to 10FY24?,bar_count_out_of_scope,bar_chart_analysis,[],[],[],[],[],,{},,-1.5,2.0,0,0,0
