sample_id,chart_id,caption,question,decision,reason,operation,targets
7867,00b97dddebcd44605a04cc754255ca9aba81aabfe0f21869322713fc7112d6e7,MarFA™ Macro – EU Real Estate vs Japan Real Estate,What was the value of the MarFA™ Macro line on March 23?,reject,question_not_simple_point_reading,,
10112,00c6e0c4b505c252e20ea76af8c8c305f4f2e2026009ffc70f250f635e35c585,"Globetronics stock price and target price changes over time, as of 26-Feb-2024",Calculate the average closing price between 2022/01/01 and 2022/07/01.,reject,question_not_simple_point_reading,,
5062,030acb0bce0efa77402386e5a22a66cd169206c91cc7dedcc339577aaab636ef,Figure 11: ARA Hub Gasoil Inventory Trends (2019-2024),Calculate the average inventory level for the first quarter of 2023.,reject,question_not_simple_point_reading,,
3576,046f9bd0ab2e3f98aae184198b6c47a92612e4a3c91a01a9d07984dfab12431a,CIMB Group stock price history with target and recommendation changes,What is the difference in closing price between 2021/07/01 and 2024/01/01?,reject,question_not_simple_point_reading,,
11057,046f9bd0ab2e3f98aae184198b6c47a92612e4a3c91a01a9d07984dfab12431a,CIMB Group stock price history with target and recommendation changes,What is the difference in closing price between 2021/07/01 and 2024/01/01?,reject,question_not_simple_point_reading,,
3249,06581401d0f1a8f963340f39df632633f0cd18481b508642d876166f11f0886e,"Closing price, target price changes, and recommendation changes for Tigermed",Estimate the average annual closing price for 2023 based on the data available from the chart.,reject,question_not_simple_point_reading,,
4257,06f8618a708f2403d8aee54ec84e1a0a1779269fe3cb3fb84d3f287e02b4b1dc,12M Forward Enterprise Value/EBITDA - TELE2 B,What is the difference in the 12M Forward Enterprise Value/EBITDA ratio between January and December 2023?,reject,question_not_simple_point_reading,,
6519,08201997e35db56cd3c18b12ea82c77f96f37b0d21748d25c9851ef0adc4c3f0,Historical stock performance of IOI Corporation with target price and recommendation changes,Calculate the average closing price of IOI Corporation over the first six months of 2022.,reject,question_not_simple_point_reading,,
2883,08dbc2ab54fd1f46cb9c766d12711e3d280bd71fefc535b75b5702befe47d875,"China Resources Beer Holdings (As of 29-Feb-2024, Currency = HKD)",How much did the closing price decrease from 2021/07/01 to 2023/01/01?,reject,question_not_simple_point_reading,,
1804,0a3485529e9f07781de803bc38cdfcf77d0aafb8715682520bd4fd4d0a2a38d9,"Shree Cement (SRCM IN) - Closing Price, Target Price Change, and Recommendation Changes (As of 20-Feb-2024)",What is the percentage change in closing price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
7526,0bfa62b72798def403d163fd4a78bab9272b46b3b6c326f8275ac1e534ac5375,"India's palm oil imports in metric tons, Jan-20 to Jul-23, with average consumption level indicated.",What is the approximate difference in metric tons between the highest and lowest monthly imports?,reject,question_not_simple_point_reading,,
3119,0cdaa2822549c1e0f5670cafc5107a8464f9b773324665099865a39ccc91d18d,P/E band,What is the percentage change in the P/E ratio for CEAT from 2022 to 2023?,reject,reference_band_not_simple_single_line,,
2929,0cdc14a51aac9819f6fa385a7db3ad6beaa6a74cd77cf9da4dbe20727e01427e,Dalmia Bharat Stock Performance with Rating and Target Price Changes,What was the closing price on 2022/01/01?,reject,question_not_simple_point_reading,,
9426,0d2581932bb446b82b218a87f2f235e9784d41b3cafc324856f40991a8f9f4bd,"Kumho Petrochemical stock price, target price changes, and recommendation changes over time.",What is the difference in stock price between 2022/07/01 and 2023/01/01?,reject,question_not_simple_point_reading,,
8965,0d32dee4bdf06c3ff80c961f739ff3668b659c347094b271aba6027acd343f97,Fig. 5: MarFA™ Macro - US Expanded Tech-Software vs S&P500,What was the approximate percentage difference between US Expanded Tech-Software and S&P500 in 2023?,reject,question_not_simple_point_reading,,
4820,0ec53abf151fc439973b2221e4d82071270cb3fe986a03bb47a856225bb42735,PBK – Gross loan growth,What is the total Gross loans y-y% change from 1Q15 to 3Q23?,reject,question_not_simple_point_reading,,
2118,0f936e3e0c67b208d98de8646d79d03dda415475cffab1705dd1230ea2e32731,"Historical price, target changes, and recommendations for Tenaga Nasional",Calculate the price change in Tenaga Nasional's stock from 2023/01/01 to 2023/07/01 based on the chart.,reject,question_not_simple_point_reading,,
9898,12064b49a44001e06e2b7cb0f3501e2c51e0bfac708aeb2b2a5e91241efec775,US Geopolitical Risk Index Trends (1985-2022),What was the approximate increase in the US Geopolitical Risk Index between 2001 and 2008?,reject,possible_bar_or_bar_line_combination,,
1831,13a7efc6040e165ac3fc993aecc8b01ed560fa723877d9b9bee7382998522cbd,Singapore Airlines Stock Price and Target Price Changes Over Time,What is the average stock price over the entire period from 2021/07 to 2024/01?,reject,question_not_simple_point_reading,,
4573,13dd35fb33373a8864dcfe969b74c6e7a0b68a8dbaa3bd7b3b90db13d1c4a0ee,Stock rating and target price history for ViTrox Corp as of 22-Feb-2024,What was the closing price difference between 2021/07/01 and 2024/01/01?,reject,question_not_simple_point_reading,,
6968,146a39b6ef7cc963d4f3f3d4f2e72596f2bfc6fe09a3001d12c6f7d04e91e675,Fig. 87: China EV Retail Sales by Vehicle Size Classification,Determine the range of percentage fluctuation for the ≥300k category during the observed period.,reject,question_not_simple_point_reading,,
6481,15ce66634450081e916e17808d78d29659c785b335456653ac023cb64f857f9d,"Infosys as of 13-Mar-2024: Closing Price, Target Price Change, and Recommendation Changes",What is the percentage change in closing price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
5317,15d0268fcacac07398fadde10c808bb56bb6f7bd981cb8fd8eaf0af2342fd509,Fig. 4: Four-year volume CAGR trends,What is the average 4-year volume CAGR for the periods in 2022?,reject,question_not_simple_point_reading,,
8951,175572fe022f5152792b04c94a0b8762531fd609340914869ec47f3a768d330c,"Telekom Malaysia stock performance with closing price, target price changes, and recommendation changes annotated",What is the change in closing price from 2022/01/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
8358,190243de7fd19b1fe5c9106f7215ee8cad8e5d797d716efca0cd075b42bf243f,"SM Entertainment three-year closing price, target price changes, and recommendation changes as of 12-Feb-2024",What was the approximate change in the closing price of SM Entertainment stock between 2023-07-01 and 2024-01-01?,reject,question_not_simple_point_reading,,
5780,1909b879072c42d77c97061620fa9be27ca7acdb84c971def442c5fce13595f0,Historical closing price and target price changes for CelcomDigi (CDB MK) as of 20-Feb-2024,Calculate the approximate percentage change in CelcomDigi's closing price from 01-Jan-2021 to 20-Feb-2024.,reject,question_not_simple_point_reading,,
2884,1937ee9cb2c45976e857d7c9d71c29aede77f799fd5311525ac0426ffaa66df1,"Tencent Holdings: Closing price, target price changes, and recommendation changes over time as of January 18, 2024, in HKD",Estimate the difference in closing price between the peak in 2021 and the trough in 2023.,reject,question_not_simple_point_reading,,
2168,1a07d6768ce43cafb7d41d68bba02fffbcba7ba6196473d8a0ec4f08a18cd606,Fig. 15: P/E band of Bharat Forge,What is the difference in P/E between August 2021 and February 2022?,reject,reference_band_not_simple_single_line,,
7541,1a2d67825b3a2950a645283aa13394230c19a4bd484365b9d3f9d1ed35a4181d,EV/EBITDA Trend Analysis,Estimate the difference in EV/EBITDA multiples between the highest and lowest points on the chart.,reject,question_not_simple_point_reading,,
6585,1b908cc13e6cb0bac52b9b292ed4ab90e899831f02ce00b9e141227f76746893,"Figure 3: Quarterly PC segment sales of Intel, AMD, and Nvidia from March 2014 to December 2023",Estimate Nvidia's average quarterly sales for the year 2022 in million USD.,reject,question_not_simple_point_reading,,
7955,1e57ebd8531ae6565b70dcc36b769281fb58caa1f89e5453844bccf540531003,Fig. 5: Institutional sales (INR mn) with 4-period moving average,What is the percentage decrease in institutional sales from its peak to 3QFY24?,reject,question_not_simple_point_reading,,
1644,208cb81ec66e7a2ea5b2fb62d10baab51ab080d4259699e64c5facff7b926fdf,"Historical price, target price changes, and recommendations for Mahanagar Gas as of 24-Jan-2024",What was the percentage change in the closing price of Mahanagar Gas from 2021/07 to 2024/01?,reject,question_not_simple_point_reading,,
7546,20abec205aa7e9cdb50b1e5ad0cf17066bf159010829d8c492f80b4e59b738ac,"Fig. 24: MAY – net credit charge (basis points, annualized)",What is the average net credit charge for 2020?,reject,question_not_simple_point_reading,,
7208,22bcad85ddabb26217b7b7963328ab55a9b0d97a9624113982696ac7be1970fe,Eureka Forbes stock performance and ratings changes as of 15-Feb-2024,What is the percentage increase from January 2022 closing price to the target price set later?,reject,question_not_simple_point_reading,,
10255,22eac641975b302445fc3b09abf51970be1e3ea1f2163ac3bb4c0cc96cc76b3f,Fig. 87: Monthly China EV Retail Sales by Size,Determine the total percentage change in the market share of category A00 from June 2021 to December 2023.,reject,question_not_simple_point_reading,,
4857,2335ec6b5ba0e37079b0c6e067035f366d49abb469f9a425cb1314ce15133e47,"Closing price, target price changes, and recommendation changes of Wuxi Apptec in HKD from July 2021 to March 2024",What was the percentage change in the closing price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
6057,2375b4db38fa4ea10733972fc5726bb666deabbd79cc25a30da12cdaf55a5356,Crane MMF Average Weighted Average Maturity (WAM),Calculate the average Axis WAM for the time period between 12 and 15.,reject,question_not_simple_point_reading,,
10615,24a5462d7b305ea626ff18064d0fbc8723596719fb7c8976a1e563a0499b8918,China - palm oil imports declined in 4Q23,What is the difference between the peak value in Jul-23 and the average value?,reject,question_not_simple_point_reading,,
